"node","_Intercept__estimate","_Intercept__p_value","ConditioncondCond_over_Expt_estimate","ConditioncondCond_over_Expt_p_value"
80,1.05524653209988,9.86563062369352e-84,-0.00686078485404453,0.135644805446896
81,0.972643538831214,1.59533797132658e-48,-0.00617080061418186,0.53648895706842
82,0.955572418578578,5.182321702063e-65,-0.00273668636007432,0.791488487060996
83,1.04075688308923,4.39505160789234e-60,0.0115640809316687,0.114022601641816
84,0.9635166244417,1.09582595501452e-69,0.0207929461222932,0.0194603962925417
85,0.96840841453682,2.57951942727739e-50,0.0161144127331265,0.0753603684188651
86,0.934730946880664,4.15209622995922e-51,0.0299396704542689,0.00246844605612577
87,0.990925202030305,7.14554992025777e-56,-0.0201113532935165,0.00663009844295161
88,0.964201333956962,6.79778905610655e-69,0.0154192448760434,0.0420121243023788
89,0.929423022223626,1.2821684701517e-49,0.000808077591383253,0.933670479505052
90,0.987509701804142,1.51707245678094e-50,0.00650614354664501,0.476377602003766
91,1.04977565898894,4.8115217558675e-56,0.0131720592446884,0.072564239520898
92,1.04047226592266,2.65483035343305e-56,0.0196813240349454,0.00543881250177831
93,0.996650746617974,3.63644816837479e-54,0.0210994451363734,0.0159320559509245
94,1.03370585347869,2.00360194219018e-55,0.00565795740695392,0.452070726846377
95,1.02102697061241,5.06560748861233e-77,0.00824926439571322,0.339387845880786
96,1.04078432083205,2.00062083269209e-47,0.0195706300173236,0.00800628855204641
97,1.01213442075724,1.57775728831752e-57,0.0180313985258102,0.0220354438152301
98,0.989688151473265,4.70429362070774e-55,0.00707669923681064,0.3996902613901
99,1.01045903881581,7.56791050082774e-51,0.0267619823408429,0.00376952524199126
100,0.995670875301773,2.9792531653891e-53,-0.00770949197150039,0.322727801741223
