"node","_Intercept__estimate","_Intercept__p_value","neural_shift_estimate","neural_shift_p_value","poly_semantic_distance_3_1_estimate","poly_semantic_distance_3_1_p_value","poly_semantic_distance_3_2_estimate","poly_semantic_distance_3_2_p_value","poly_semantic_distance_3_3_estimate","poly_semantic_distance_3_3_p_value","neural_shift_poly_semantic_distance_3_1_estimate","neural_shift_poly_semantic_distance_3_1_p_value","neural_shift_poly_semantic_distance_3_2_estimate","neural_shift_poly_semantic_distance_3_2_p_value","neural_shift_poly_semantic_distance_3_3_estimate","neural_shift_poly_semantic_distance_3_3_p_value"
32,0.558536774787754,6.1963888193654e-47,-0.00940377876904638,0.751556295309632,-1.64313240668353,0.18155816288646,1.70884338865114,0.163250723155302,-0.0729117533250953,0.956155015446394,0.174470494844417,0.877724869685885,-1.07963399946905,0.341692509057726,0.0860322594972604,0.942786321550135
33,0.544555241760037,8.1650293733901e-55,0.00409892171923383,0.857116256159012,-2.28675364211054,0.028097533946438,2.21397409862771,0.037748891596009,1.3794220429863,0.213257925224104,0.775887973909706,0.4029568706111,-1.50643424450656,0.114385124702971,-1.22783546311837,0.206529664928629
34,0.547317260755132,3.41877827462471e-55,0.00188422535069733,0.890811998278118,-2.59572963758417,1.00920493889818e-05,0.604920975572302,0.290538571274681,0.625294741481122,0.309976659534143,1.20728874053873,0.0274528641952828,-0.0346772563576219,0.949805371171255,-0.641009207814739,0.277867545578503
35,0.547352103830517,1.73027419545292e-58,0.00208052325945321,0.901266003561014,-3.32367357889159,8.65217194868602e-06,-0.350455493597079,0.632133722354143,0.41601092987795,0.57666646248899,1.87525748077434,0.00639906631369814,0.94051851069549,0.167440925959333,-0.391496935918289,0.565942987674429
36,0.543699384751534,3.39627553167169e-55,0.00582249462662473,0.665374521920768,-2.11221667235958,0.000410667362901139,1.07324456323064,0.066691806328257,1.37713488379983,0.0187573218153397,0.691801250432581,0.193333420876096,-0.466257944205287,0.370893203197076,-1.28959605360894,0.00813942342708009
37,0.53516249862073,1.88274531617792e-57,0.0135856404847519,0.480074031775757,-2.19166946552472,0.00846358122055014,0.593224091868288,0.488104240561351,1.06887209224586,0.233247201054122,0.727575098094367,0.346294634190505,0.00398900190432716,0.996039099380722,-1.03474492899352,0.208424519560269
38,0.5226424817309,5.66805283527162e-53,0.0243023198551014,0.2593834195054,-2.86522900476258,0.00258177203626557,0.89722522111818,0.352373013756498,0.642977866558753,0.543933823250834,1.31635083398015,0.120484871298944,-0.302093145695502,0.72682454357462,-0.59490653069432,0.5304333890766
39,0.563217879507663,9.30477507887075e-60,-0.0135223032274507,0.377593869029056,-2.55765479872934,0.000203956000462671,0.829791854250823,0.219412836293478,1.01662237588896,0.160250429712831,1.06729700000143,0.0757402104811631,-0.224095249414106,0.702187693763563,-0.917401892100442,0.129382481915071
40,0.554853071643993,5.39241840986723e-59,-0.00628901198889248,0.701356782128785,-1.84546292656103,0.00795470531474671,1.07293246691543,0.130042567970701,1.09472273533419,0.154114562289834,0.381826761553431,0.55599243338272,-0.507204667377425,0.443356235042242,-1.06084393961466,0.127860334821954
41,0.547719699209539,1.46927904686302e-58,0.00194623514744583,0.904446685977842,-2.65387570365685,0.000175982227255694,1.21264565137092,0.0854886477506862,0.954693376702152,0.204168113318178,1.19554655169495,0.0627185362677942,-0.615761949519442,0.338389995069656,-0.892775142371168,0.178254035921983
42,0.53425558043331,1.67204119089754e-57,0.014611366758583,0.423091259087614,-3.18297393177274,5.7426193700909e-05,0.27007616066779,0.726591108555585,0.800678888414504,0.315364073496362,1.68195856661106,0.0186046909030586,0.306139311319655,0.663637083398862,-0.750068022338693,0.294409545255134
43,0.550711399313537,3.60691767417778e-59,-0.00130468795331324,0.943531497562955,-3.11474934420959,9.63984223141117e-05,-0.359687057136406,0.65918029512312,1.35720535177188,0.11603100983301,1.61625968818423,0.0242116716644005,0.89942238299513,0.223649865207718,-1.25906697735913,0.0995660791639672
44,0.542651063858179,1.75029782589198e-58,0.00561492117086569,0.757353167976899,-2.55955522460252,0.00230958455368087,0.74078449202541,0.379305573771193,0.569048740354478,0.521823428385542,1.03275406366175,0.163009962012065,-0.15158694259232,0.839157958847279,-0.52414114392823,0.501403740463063
