"Node_Number","ROI_Name_7N","Network_7N","Node_Number_17N","ROI_Name_17N","Network_17N","R","A","S"
18,"7Networks_LH_DorsAttn_Post_3","DorsAttn",16,"17Networks_LH_DorsAttnA_SPL_1","DorsAttnA",-24,-68,49
19,"7Networks_LH_DorsAttn_Post_4","DorsAttn",18,"17Networks_LH_DorsAttnB_PostC_2","DorsAttnB",-42,-34,48
20,"7Networks_LH_DorsAttn_Post_5","DorsAttn",36,"17Networks_LH_ContC_pCun_2","ContC",-6,-60,56
21,"7Networks_LH_DorsAttn_Post_6","DorsAttn",19,"17Networks_LH_DorsAttnB_PostC_3","DorsAttnB",-22,-51,66
22,"7Networks_LH_DorsAttn_PrCv_1","DorsAttn",33,"17Networks_LH_ContA_PFCl_2","ContA",-48,6,28
23,"7Networks_LH_DorsAttn_FEF_1","DorsAttn",20,"17Networks_LH_DorsAttnB_FEF_1","DorsAttnB",-26,-3,59
24,"7Networks_LH_SalVentAttn_ParOper_1","SalVentAttn",21,"17Networks_LH_SalVentAttnA_ParOper_1","SalVentAttnA",-59,-38,29
25,"7Networks_LH_SalVentAttn_FrOperIns_1","SalVentAttn",22,"17Networks_LH_SalVentAttnA_Ins_1","SalVentAttnA",-41,-1,-7
26,"7Networks_LH_SalVentAttn_FrOperIns_2","SalVentAttn",23,"17Networks_LH_SalVentAttnA_Ins_2","SalVentAttnA",-38,12,6
27,"7Networks_LH_SalVentAttn_PFCl_1","SalVentAttn",26,"17Networks_LH_SalVentAttnB_PFCl_1","SalVentAttnB",-30,44,30
28,"7Networks_LH_SalVentAttn_Med_1","SalVentAttn",27,"17Networks_LH_SalVentAttnB_PFCmp_1","SalVentAttnB",-5,20,34
29,"7Networks_LH_SalVentAttn_Med_2","SalVentAttn",24,"17Networks_LH_SalVentAttnA_ParMed_1","SalVentAttnA",-11,-34,45
30,"7Networks_LH_SalVentAttn_Med_3","SalVentAttn",25,"17Networks_LH_SalVentAttnA_FrMed_1","SalVentAttnA",-6,4,62
31,"7Networks_LH_Limbic_OFC_1","Limbic",28,"17Networks_LH_LimbicB_OFC_1","LimbicB",-14,32,-20
32,"7Networks_LH_Limbic_TempPole_1","Limbic",29,"17Networks_LH_LimbicA_TempPole_1","LimbicA",-32,2,-37
33,"7Networks_LH_Limbic_TempPole_2","Limbic",30,"17Networks_LH_LimbicA_TempPole_2","LimbicA",-57,-33,-21
